Datetime,Cyanobacteria
8/9/2022 8:15:00 AM,4.34
8/9/2022 8:30:00 AM,4.33
8/9/2022 8:45:00 AM,4.08
8/9/2022 9:00:00 AM,4.04
8/9/2022 9:15:00 AM,3.87
8/9/2022 9:30:00 AM,3.94
8/9/2022 9:45:00 AM,3.68
8/9/2022 10:00:00 AM,3.65
8/9/2022 10:15:00 AM,3.40
8/9/2022 10:30:00 AM,3.53
8/9/2022 10:45:00 AM,3.54
8/9/2022 11:00:00 AM,3.15
8/9/2022 11:15:00 AM,3.27
8/9/2022 11:30:00 AM,3.25
8/9/2022 11:45:00 AM,2.39
8/9/2022 12:00:00 PM,2.94
8/9/2022 12:15:00 PM,3.33
8/9/2022 12:30:00 PM,3.30
8/9/2022 12:45:00 PM,3.36
8/9/2022 1:00:00 PM,3.59
8/9/2022 1:15:00 PM,4.17
8/9/2022 1:30:00 PM,4.37
8/9/2022 1:45:00 PM,4.33
8/9/2022 2:00:00 PM,4.12
8/9/2022 2:15:00 PM,3.99
8/9/2022 2:30:00 PM,4.74
8/9/2022 2:45:00 PM,5.09
8/9/2022 3:00:00 PM,5.22
8/9/2022 3:15:00 PM,5.15
8/9/2022 3:30:00 PM,4.39
8/9/2022 3:45:00 PM,4.72
8/9/2022 4:00:00 PM,5.11
8/9/2022 4:15:00 PM,5.42
8/9/2022 4:30:00 PM,5.37
8/9/2022 4:45:00 PM,5.02
8/9/2022 5:00:00 PM,5.11
8/9/2022 5:15:00 PM,6.08
8/9/2022 5:30:00 PM,5.48
8/9/2022 5:45:00 PM,5.27
8/9/2022 6:00:00 PM,5.54
8/9/2022 6:15:00 PM,6.79
8/9/2022 6:30:00 PM,5.20
8/9/2022 6:45:00 PM,4.85
8/9/2022 7:00:00 PM,5.39
8/9/2022 7:15:00 PM,4.48
8/9/2022 7:30:00 PM,4.76
8/9/2022 7:45:00 PM,5.14
8/9/2022 8:00:00 PM,4.32
8/9/2022 8:15:00 PM,4.35
8/9/2022 8:30:00 PM,4.03
8/9/2022 8:45:00 PM,4.60
8/9/2022 9:00:00 PM,4.75
8/9/2022 9:15:00 PM,4.59
8/9/2022 9:30:00 PM,3.71
8/9/2022 9:45:00 PM,3.80
8/9/2022 10:00:00 PM,4.38
8/9/2022 10:15:00 PM,4.68
8/9/2022 10:30:00 PM,4.74
8/9/2022 10:45:00 PM,4.86
8/9/2022 11:00:00 PM,4.90
8/9/2022 11:15:00 PM,5.09
8/9/2022 11:30:00 PM,4.85
8/9/2022 11:45:00 PM,5.27
8/10/2022 12:00:00 AM,5.36
8/10/2022 12:15:00 AM,5.75
8/10/2022 12:30:00 AM,5.41
8/10/2022 12:45:00 AM,5.08
8/10/2022 1:00:00 AM,5.10
8/10/2022 1:15:00 AM,5.67
8/10/2022 1:30:00 AM,5.19
8/10/2022 1:45:00 AM,5.89
8/10/2022 2:00:00 AM,4.95
8/10/2022 2:15:00 AM,5.66
8/10/2022 2:30:00 AM,5.12
8/10/2022 2:45:00 AM,5.54
8/10/2022 3:00:00 AM,5.07
8/10/2022 3:15:00 AM,5.86
8/10/2022 3:30:00 AM,5.85
8/10/2022 3:45:00 AM,5.57
8/10/2022 4:00:00 AM,5.23
8/10/2022 4:15:00 AM,5.08
8/10/2022 4:30:00 AM,5.18
8/10/2022 4:45:00 AM,5.05
8/10/2022 5:00:00 AM,4.57
8/10/2022 5:15:00 AM,5.19
8/10/2022 5:30:00 AM,5.24
8/10/2022 5:45:00 AM,4.80
8/10/2022 6:00:00 AM,5.46
8/10/2022 6:15:00 AM,5.02
8/10/2022 6:30:00 AM,4.64
8/10/2022 6:45:00 AM,4.48
8/10/2022 7:00:00 AM,4.80
8/10/2022 7:15:00 AM,4.83
8/10/2022 7:30:00 AM,4.69
8/10/2022 7:45:00 AM,4.05
8/10/2022 8:00:00 AM,4.02
8/10/2022 8:15:00 AM,3.66
8/10/2022 8:30:00 AM,3.72
8/10/2022 8:45:00 AM,3.43
8/10/2022 9:00:00 AM,3.46
8/10/2022 9:15:00 AM,3.44
8/10/2022 9:30:00 AM,3.18
8/10/2022 9:45:00 AM,3.39
8/10/2022 10:00:00 AM,2.88
8/10/2022 10:15:00 AM,3.16
8/10/2022 10:30:00 AM,3.09
8/10/2022 10:45:00 AM,2.80
8/10/2022 11:00:00 AM,2.85
8/10/2022 11:15:00 AM,2.88
8/10/2022 11:30:00 AM,2.98
8/10/2022 11:45:00 AM,2.59
8/10/2022 12:00:00 PM,2.77
8/10/2022 12:15:00 PM,2.78
8/10/2022 12:30:00 PM,2.28
8/10/2022 12:45:00 PM,2.64
8/10/2022 1:00:00 PM,2.67
8/10/2022 1:15:00 PM,2.36
8/10/2022 1:30:00 PM,2.93
8/10/2022 1:45:00 PM,2.87
8/10/2022 2:00:00 PM,3.39
8/10/2022 2:15:00 PM,3.22
8/10/2022 2:30:00 PM,3.59
8/10/2022 2:45:00 PM,3.34
8/10/2022 3:00:00 PM,3.43
8/10/2022 3:15:00 PM,3.83
8/10/2022 3:30:00 PM,4.31
8/10/2022 3:45:00 PM,4.25
8/10/2022 4:00:00 PM,3.88
8/10/2022 4:15:00 PM,3.92
8/10/2022 4:30:00 PM,4.22
8/10/2022 4:45:00 PM,4.10
8/10/2022 5:00:00 PM,4.32
8/10/2022 5:15:00 PM,4.53
8/10/2022 5:30:00 PM,4.63
8/10/2022 5:45:00 PM,4.29
8/10/2022 6:00:00 PM,4.52
8/10/2022 6:15:00 PM,4.24
8/10/2022 6:30:00 PM,4.72
8/10/2022 6:45:00 PM,4.33
8/10/2022 7:00:00 PM,4.62
8/10/2022 7:15:00 PM,4.02
8/10/2022 7:30:00 PM,4.46
8/10/2022 7:45:00 PM,3.70
8/10/2022 8:00:00 PM,3.70
8/10/2022 8:15:00 PM,3.59
8/10/2022 8:30:00 PM,3.63
8/10/2022 8:45:00 PM,3.48
8/10/2022 9:00:00 PM,3.57
8/10/2022 9:15:00 PM,3.04
8/10/2022 9:30:00 PM,3.27
8/10/2022 9:45:00 PM,3.86
8/10/2022 10:00:00 PM,4.02
8/10/2022 10:15:00 PM,3.58
8/10/2022 10:30:00 PM,3.37
8/10/2022 10:45:00 PM,3.37
8/10/2022 11:00:00 PM,3.17
8/10/2022 11:15:00 PM,3.74
8/10/2022 11:30:00 PM,3.44
8/10/2022 11:45:00 PM,3.53
8/11/2022 12:00:00 AM,3.41
8/11/2022 12:15:00 AM,3.80
8/11/2022 12:30:00 AM,4.01
8/11/2022 12:45:00 AM,4.21
8/11/2022 1:00:00 AM,4.10
8/11/2022 1:15:00 AM,4.43
8/11/2022 1:30:00 AM,4.31
8/11/2022 1:45:00 AM,4.45
8/11/2022 2:00:00 AM,4.74
8/11/2022 2:15:00 AM,4.27
8/11/2022 2:30:00 AM,4.15
8/11/2022 2:45:00 AM,4.60
8/11/2022 3:00:00 AM,4.16
8/11/2022 3:15:00 AM,4.24
8/11/2022 3:30:00 AM,4.45
8/11/2022 3:45:00 AM,4.38
8/11/2022 4:00:00 AM,4.07
8/11/2022 4:15:00 AM,4.04
8/11/2022 4:30:00 AM,4.58
8/11/2022 4:45:00 AM,4.61
